Signal,Calibrated_Name,Raw_Sig_Min,Raw_Sig_Max,Value_at_Min,Value_at_Max,Bias,Calibrated_Min,Calibrated_Max
analog_12,Fork_Pos_mm,0.2314125,1.777875,225.0,0.0,8.420427,0.0,137.636703
analog_13,Shock_Pos_mm,0.2314125,1.777875,75.0,0.0,.915396,-0.0,46.315381
VIN,Board_SoC,3.5,4.1,10.0,90.0,0.0,50.0,80.666667
aX,aX_g,0.0,1000.0,0.0,1.0,0.0,-10.54688,15.99951
aY,aY_g,0.0,1000.0,0.0,1.0,0.0,-13.72217,5.19629
aZ,aZ_g,0.0,1000.0,0.0,1.0,0.0,-5.03906,6.1377
gX,gX_dps,0.0,1.0,0.0,1.0,0.0,-114.53,121.91
gY,gY_dps,0.0,1.0,0.0,1.0,0.0,-327.25,193.33
gZ,gZ_dps,0.0,1.0,0.0,1.0,0.0,-208.24,168.06
mX,mX_uT,0.0,1.0,0.0,1.0,0.0,-14.7,76.65
mY,mY_uT,0.0,1.0,0.0,1.0,0.0,-122.4,-0.15
mZ,mZ_uT,0.0,1.0,0.0,1.0,0.0,-7.95,69.3
imu_degC,Board_Temp_degC,0.0,1.0,0.0,1.0,0.0,31.77,40.3
A0mV,Front_Horz_Wheel_Spd_mph,0.0,1.0,0.0,1.0,0.0,0.051685,13.478766
A1mV,Rear_Horz_Wheel_Spd_mph,0.0,1.0,0.0,1.0,0.0,0.051818,15.37453
A2mV,Crank_Spd_rpm,0.0,1.0,0.0,1.0,0.0,0.565765,150.943396
output_Hz,Req_Freq_Hz,0.0,1.0,0.0,1.0,0.0,67.094,70.833
